Enter in your CNF: ( Att 0 from left record > Att 0 from literal record (Int))  AND
( Att 0 from left record < Att 1 from literal record (Int)) 
l_orderkey: [32], l_partkey: [828], l_suppkey: [95], l_linenumber: [1], l_quantity: [28], l_extendedprice: [48407], l_discount: [0.05], l_tax: [0.08], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1995-10-23], l_commitdate: [1995-08-27], l_receiptdate: [1995-10-26], l_shipinstruct: [TAKE BACK RETURN], l_shipmode: [TRUCK], l_comment: [sleep quickly. req]
l_orderkey: [37], l_partkey: [227], l_suppkey: [55], l_linenumber: [1], l_quantity: [40], l_extendedprice: [45088.8], l_discount: [0.09], l_tax: [0.03], l_returnflag: [A], l_linestatus: [F], l_shipdate: [1992-07-21], l_commitdate: [1992-08-01], l_receiptdate: [1992-08-15], l_shipinstruct: [NONE], l_shipmode: [REG AIR], l_comment: [luffily regular requests. slyly final acco]
l_orderkey: [37], l_partkey: [1268], l_suppkey: [43], l_linenumber: [2], l_quantity: [39], l_extendedprice: [45601.1], l_discount: [0.05], l_tax: [0.02], l_returnflag: [A], l_linestatus: [F], l_shipdate: [1992-07-02], l_commitdate: [1992-08-18], l_receiptdate: [1992-07-28], l_shipinstruct: [TAKE BACK RETURN], l_shipmode: [RAIL], l_comment: [the final requests. ca]
l_orderkey: [37], l_partkey: [130], l_suppkey: [57], l_linenumber: [3], l_quantity: [43], l_extendedprice: [44295.6], l_discount: [0.05], l_tax: [0.08], l_returnflag: [A], l_linestatus: [F], l_shipdate: [1992-07-10], l_commitdate: [1992-07-06], l_receiptdate: [1992-08-02], l_shipinstruct: [DELIVER IN PERSON], l_shipmode: [TRUCK], l_comment: [iously ste]
l_orderkey: [38], l_partkey: [1759], l_suppkey: [44], l_linenumber: [1], l_quantity: [44], l_extendedprice: [73073], l_discount: [0.04], l_tax: [0.02], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-09-29], l_commitdate: [1996-11-17], l_receiptdate: [1996-09-30], l_shipinstruct: [COLLECT COD], l_shipmode: [MAIL], l_comment: [s. blithely unusual theodolites am]
l_orderkey: [39], l_partkey: [24], l_suppkey: [100], l_linenumber: [1], l_quantity: [44], l_extendedprice: [40656.9], l_discount: [0.09], l_tax: [0.06], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-11-14], l_commitdate: [1996-12-15], l_receiptdate: [1996-12-12], l_shipinstruct: [COLLECT COD], l_shipmode: [RAIL], l_comment: [eodolites. careful]
l_orderkey: [39], l_partkey: [1866], l_suppkey: [96], l_linenumber: [2], l_quantity: [26], l_extendedprice: [45964.4], l_discount: [0.08], l_tax: [0.04], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-11-04], l_commitdate: [1996-10-20], l_receiptdate: [1996-11-20], l_shipinstruct: [NONE], l_shipmode: [FOB], l_comment: [ckages across the slyly silent]
l_orderkey: [39], l_partkey: [679], l_suppkey: [73], l_linenumber: [3], l_quantity: [46], l_extendedprice: [72664.8], l_discount: [0.06], l_tax: [0.08], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-09-26], l_commitdate: [1996-12-19], l_receiptdate: [1996-10-26], l_shipinstruct: [DELIVER IN PERSON], l_shipmode: [AIR], l_comment: [he carefully e]
l_orderkey: [39], l_partkey: [206], l_suppkey: [34], l_linenumber: [4], l_quantity: [32], l_extendedprice: [35398.4], l_discount: [0.07], l_tax: [0.05], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-10-02], l_commitdate: [1996-12-19], l_receiptdate: [1996-10-14], l_shipinstruct: [COLLECT COD], l_shipmode: [MAIL], l_comment: [heodolites sleep silently pending foxes. ac]
l_orderkey: [39], l_partkey: [546], l_suppkey: [7], l_linenumber: [5], l_quantity: [43], l_extendedprice: [62201.2], l_discount: [0.01], l_tax: [0.01], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-10-17], l_commitdate: [1996-11-14], l_receiptdate: [1996-10-26], l_shipinstruct: [COLLECT COD], l_shipmode: [MAIL], l_comment: [yly regular i]
l_orderkey: [39], l_partkey: [944], l_suppkey: [79], l_linenumber: [6], l_quantity: [40], l_extendedprice: [73797.6], l_discount: [0.06], l_tax: [0.05], l_returnflag: [N], l_linestatus: [O], l_shipdate: [1996-12-08], l_commitdate: [1996-10-22], l_receiptdate: [1997-01-01], l_shipinstruct: [COLLECT COD], l_shipmode: [AIR], l_comment: [quickly ironic fox]
